RecordNo,endtime,qweek,i1_health,i2_health,i7a_health,i3_health,i4_health,i5_health_1,i5_health_2,i5_health_3,i5_health_4,i5_health_5,i5_health_99,i5a_health,i6_health,i7b_health,i8_health,i9_health,i10_health,i11_health,i12_health_1,i12_health_2,i12_health_3,i12_health_4,i12_health_5,i12_health_6,i12_health_7,i12_health_8,i12_health_9,i12_health_10,i12_health_11,i12_health_12,i12_health_13,i12_health_14,i12_health_15,i12_health_16,i12_health_17,i12_health_18,i12_health_19,i12_health_20,i13_health,i14_health_1,i14_health_2,i14_health_3,i14_health_4,i14_health_5,i14_health_6,i14_health_7,i14_health_8,i14_health_9,i14_health_10,i14_health_96,i14_health_98,i14_health_99,i14_health_other,d1_health_1,d1_health_2,d1_health_3,d1_health_4,d1_health_5,d1_health_6,d1_health_7,d1_health_8,d1_health_9,d1_health_10,d1_health_11,d1_health_12,d1_health_13,d1_health_98,d1_health_99,weight,gender,age,sta,household_size,household_children,employment_status
2275,15/04/2020 20:43,week 3,0,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Not at all,Always,Frequently,Always,Frequently,Always,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Not at all,Sometimes,Frequently,Always,3,No,No,No,No,Yes,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.172725052,Female,37,Lower Saxony,1,0,Full time employment
2276,15/04/2020 20:44,week 3,0,10,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Frequently,Always,Frequently,Frequently,Always,Frequently, , ,Always,Sometimes,Always,Always,Always,Not at all,Not at all,Not at all,Sometimes,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.045296021,Male,29,North Rhine-Westphalia,1,0,Full time student
2277,15/04/2020 20:45,week 3,1,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very unwilling,Frequently,Frequently,Frequently,Always,Always,Frequently,Not at all,Always, , ,Always,Rarely,Always,Always,Always,Always,Sometimes,Rarely,Sometimes,Sometimes,8, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,0.917400877,Male,78,Bavaria,2,0,Retired
2278,15/04/2020 20:46,week 3,0,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Sometimes,Always,Frequently,Rarely,Always,Rarely,Always,Always, , ,Always,Always,Always,Always,Always,Frequently,Always,Always,Always,Always,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,0.838912314,Male,71,Mecklenburg-Vorpommern,1,0,Retired
2279,15/04/2020 20:47,week 3,3,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Not sure,Not sure,Rarely,Always,Always,Not at all,Not at all,Frequently,Frequently,Not at all, ,Not at all,Not at all,Rarely,Rarely,Not at all,Rarely,Rarely,Frequently,Not at all,Rarely,Not at all,9, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.101384852,Female,49,Saxony-Anhalt,3,1,Not working
2280,15/04/2020 20:47,week 3,2,15,1,"No, I have not","No, they have not",No,Yes,No,No,No,No,No,Sometimes,No,No,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Frequently,Always,Sometimes,Always,Always,Sometimes,Frequently,Always,Always,Always,Always,Always,Sometimes,Sometimes,Not at all,Sometimes,Frequently,10,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,0.930203038,Male,53,Rheinland-Pfalz,3,1,Part time employment
2281,15/04/2020 20:48,week 3,1,10,1,"No, I have not","No, they have not",Yes,No,No,No,No,No,Not sure,Frequently,Yes,No,Yes,Neither easy nor difficult,Somewhat willing,Not at all,Always,Frequently,Always,Always,Sometimes,Always,Always,Always, ,Always,Always,Always,Always,Always,Frequently,Always,Frequently,Frequently,Frequently,8,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,1.141209791,Male,62,Brandenburg,2,0,Full time employment
2282,15/04/2020 20:48,week 3,5,8,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Not sure,Somewhat difficult,Neither willing nor unwilling,Always,Frequently,Always,Always,Always,Frequently,Not at all,Always, , ,Frequently,Sometimes,Always,Always,Always,Not at all,Not at all,Not at all,Frequently,Always,9, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.875392406,Male,61,North Rhine-Westphalia,2,0,Unemployed
2283,15/04/2020 20:50,week 3,1,1,1,"Yes, and I tested positive","Yes, and they tested positive",No,No,No,No,Yes,No,Yes,Always,Yes,No,Yes,Very easy,Not sure,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,1.164918733,Male,21,Mecklenburg-Vorpommern,1,1,Full time employment
2284,15/04/2020 20:50,week 3,0,5,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Very willing,Not at all,Always,Rarely,Frequently,Always,Frequently,Always,Always,Not at all, ,Frequently,Always,Always,Always,Always,Not at all,Not at all,Always,Sometimes,Frequently,15,No,No,No,No,No,No,No,No,No,No,Yes,No,No,dienstleistung,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.085984,Female,57,North Rhine-Westphalia,1,0,Full time employment
2285,15/04/2020 20:59,week 3,2,0,1,"No, I have not","No, they have not",No,No,No,Yes,No,No,No,Always,No,No,Yes,Neither easy nor difficult,Very willing,Sometimes,Always,Always,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Frequently,Frequently,Frequently,Always,Always,Frequently,15, , , , , , , , , , , , , ,__NA__,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.101384852,Female,53,Saxony-Anhalt,3,0,Other
2286,15/04/2020 21:01,week 3,4,2,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Somewhat easy,Neither willing nor unwilling,Always,Always,Always,Always,Always,Frequently,Frequently,Always,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Frequently,5,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.994141657,Male,43,Baden-Wurttemberg,3,1,Full time employment
2287,15/04/2020 21:01,week 3,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Neither willing nor unwilling,Not at all,Always,Rarely,Rarely,Not at all,Frequently,Rarely,Rarely, , ,Rarely,Always,Rarely,Not at all,Not at all,Rarely,Not at all,Rarely,Rarely,Rarely,6, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.901368322,Female,35,Mecklenburg-Vorpommern,1,0,Unemployed
2288,15/04/2020 21:02,week 3,0,2,7,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Not sure,Not sure,Not at all,Always,Always,Not at all,Not at all,Sometimes,Not at all,Not at all,Always, ,Sometimes,Not at all,Not at all,Not at all,Not at all,Frequently,Not at all,Not at all,Not at all,Not at all,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.994676797,Female,52,Mecklenburg-Vorpommern,1,0,Full time employment
2289,15/04/2020 21:05,week 3,0,5,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Always,Always,Always,Always,Rarely,Always,Always,Sometimes, ,Frequently,Rarely,Always,Always,Always,Rarely,Not at all,Frequently,Sometimes,Frequently,8,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Öffentliche Verwaltung,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1.18295697,Female,60,Baden-Wurttemberg,1,0,Full time employment
2290,15/04/2020 21:05,week 3,5,3,2,"No, I have not","No, they have not",Yes,No,No,No,Yes,No,No,Not at all,No,No,No,Somewhat easy,Somewhat willing,Not at all,Frequently,Frequently,Frequently,Frequently,Sometimes,Frequently,Not at all,Sometimes, ,Sometimes,Sometimes,Always,Always,Frequently,Sometimes,Not at all,Not at all,Not at all,Rarely,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,0.950759273,Male,67,Hesse,2,0,Full time employment
2291,15/04/2020 21:06,week 3,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very difficult,Very willing,Always,Always,Rarely,Always,Not at all,Always,Not at all,Not at all, , ,Not at all,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,Not at all,Always,Not at all,15, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,1.354038876,Female,58,Lower Saxony,1,0,Other
2292,15/04/2020 21:07,week 3,3,6,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very difficult,Somewhat unwilling,Not at all,Always,Not at all,Always,Not at all,Not at all,Not at all,Not at all,Not at all, ,Not at all,Sometimes,Rarely,Not at all,Not at all,Not at all,Not at all,Not at all,Sometimes,Rarely,10,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.03548651,Female,54,Saxony,1,0,Full time employment
2293,15/04/2020 21:10,week 3,3,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Not at all,Always,Always,Not at all,Always,Always,Not at all,Not at all,Always,Always,Always,Always,Always,Always,Frequently,Frequently,Not at all,Always,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.226171481,Female,38,Brandenburg,4,2,Full time employment
2294,15/04/2020 21:11,week 3,2,0,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Sometimes,Always,Frequently,Always,Always,Sometimes,Always,Always,Frequently, ,Frequently,Frequently,Always,Always,Frequently,Frequently,Always,Frequently,Frequently,Always,20,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.179481741,Female,59,Hesse,3,0,Full time employment
2295,15/04/2020 21:11,week 3,2,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Frequently,Always,Always,Always,Always,Always,Always,Always,Always,Not at all,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Always,Always,15,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.985700264,Female,40,Bavaria,3,1,Part time employment
2296,15/04/2020 21:13,week 3,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Sometimes,Always,Not at all, , ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Sometimes,Always,20, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.642801804,Female,51,Bremen,2,0,Other
2297,15/04/2020 21:25,week 3,4,10,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Frequently,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Sometimes,Not at all,Not at all,Frequently,Frequently,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.63709842,Female,23,Hamburg,4,0,Full time student
2298,15/04/2020 21:27,week 3,10,1,4,"No, I have not","Yes, and they tested negative",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Frequently,Frequently,Sometimes,Always,Not at all,Always,Frequently,Not at all, ,Frequently,Frequently,Always,Always,Frequently,Rarely,Not at all,Not at all,Frequently,Sometimes,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,landwirtschaft,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.104999651,Female,57,Schleswig-Holstein,3,0,Part time employment
2299,15/04/2020 21:29,week 3,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Always,Always,Not at all,Not at all,Always,Not at all, , ,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Always,12, , , , , , , , , , , , , ,__NA__,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,1.18295697,Female,72,Baden-Wurttemberg,2,0,Retired
2300,15/04/2020 21:30,week 3,2,3,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Neither easy nor difficult,Very willing,Not at all,Always,Sometimes,Always,Always,Frequently,Always,Always,Not at all, ,Always,Always,Always,Always,Always,Sometimes,Not at all,Sometimes,Frequently,Frequently,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Versicherung,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,1.01971191,Male,51,Baden-Wurttemberg,3,0,Full time employment
2301,15/04/2020 21:35,week 3,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Always,Always,Not at all,Always,Always,Sometimes,Always,Always, , ,Always,Always,Always,Always,Always,Not at all,Not at all,Always,Not at all,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1.104999651,Female,74,Schleswig-Holstein,1,0,Retired
2302,15/04/2020 21:44,week 3,0,12,4,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Not at all,Frequently,Frequently,Always,Always,Not at all,Always,Not at all,Not at all, ,Always,Sometimes,Sometimes,Sometimes,Frequently,Not at all,Not at all,Always,Sometimes,Always,6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.212713152,Male,23,Saxony,1,0,Full time employment
2303,15/04/2020 21:46,week 3,0,0,0,"Yes, and I tested positive","No, they have not",No,Yes,Yes,Yes,Yes,No,Yes,Always,No,Yes,Yes,Somewhat difficult,Very willing,Always,Frequently,Sometimes,Always,Always,Always,Always,Always,Always, ,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,10,No,No,No,Yes,No,No,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,0.928631811,Female,30,Bavaria,1,0,Full time employment
2304,15/04/2020 21:47,week 3,1,10,1, , ,No,No,No,No,No,Yes, , , , ,No,Somewhat difficult,Somewhat willing,Not at all,Always,Always,Always,Always,Always,Always,Always,Not at all, ,Frequently,Always,Always,Always,Always,Frequently,Not at all,Sometimes,Sometimes,Always,10,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Produktion,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.876154233,Female,23,Rheinland-Pfalz,2,0,Full time employment
2305,15/04/2020 21:55,week 3,1,8,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Neither willing nor unwilling,Not at all,Always,Frequently,Always,Frequently,Sometimes,Always,Frequently, , ,Frequently,Rarely,Sometimes,Always,Frequently,Sometimes,Not at all,Rarely,Sometimes,Frequently,15, , , , , , , , , , , , , ,__NA__, , , , , , , , , , , , , , , ,0.881728302,Female,19,North Rhine-Westphalia,2,0,Full time student
2306,15/04/2020 21:57,week 3,1,15,1,"No, I have not","No, they have not",Yes,No,No,No,Yes,No,Not sure,Always,No,No,Not sure,Somewhat easy,Somewhat willing,Frequently,Always,Rarely,Always,Always,Rarely,Frequently,Always,Always, ,Always,Frequently,Frequently,Always,Always,Sometimes,Always,Not at all,Not at all,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,1.127290865,Female,54,Hesse,2,0,Full time employment
2307,15/04/2020 21:59,week 3,0,3,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Frequently,Sometimes,Not at all,Not at all,Not at all,Not at all,Not at all, , ,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,4, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,1.085984,Female,64,North Rhine-Westphalia,1,0,Retired
2308,15/04/2020 22:07,week 3,4,1,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Neither easy nor difficult,Somewhat willing,Always,Always,Always,Always,Always,Frequently,Always,Always, , ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Always,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.095457855,Male,33,Bavaria,4,0,Unemployed
2309,15/04/2020 22:12,week 3,7,0,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Sometimes,Always,Always,Frequently,Always,Rarely, ,Always,Always,Always,Always,Always,Always,Rarely,Not at all,Rarely,Always,Always,30, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.832862379,Female,23,Berlin,6,2,Unemployed
2310,15/04/2020 22:16,week 3,0,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Rarely,Always,Frequently,Frequently,Always,Sometimes,Always,Always,Not at all, ,Frequently,Sometimes,Always,Always,Always,Sometimes,Always,Always,Sometimes,Always,12,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Immobilien,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.862067388,Male,37,Berlin,1,0,Full time employment
2311,15/04/2020 22:21,week 3,3,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Very easy,Very willing,Not at all,Always,Not at all,Always,Always,Frequently,Always,Always, ,Always,Always,Always,Always,Always,Always,Frequently,Not at all,Not at all,Sometimes,Always,5, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.886109066,Female,28,North Rhine-Westphalia,4,2,Not working
2312,15/04/2020 22:22,week 3,1,0,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Always,Sometimes,Frequently,Always,Not at all,Sometimes,Not at all,Always,Always, ,Always,Always,Always,Always,Sometimes,Rarely,Not at all,Rarely,Rarely,Always,5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.987365076,Male,30,Berlin,2,0,Full time employment
2313,15/04/2020 22:24,week 3,3,3,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Frequently,Rarely,Frequently,Rarely,Frequently,Rarely,Frequently, , ,Sometimes,Frequently,Frequently,Always,Always,Frequently,Not at all,Rarely,Rarely,Frequently,2, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.879652282,Female,24,Saxony,4,0,Full time student
2314,15/04/2020 22:27,week 3,0,25,2,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Somewhat willing,Not at all,Frequently,Frequently,Frequently,Not at all,Not at all,Always,Always,Not at all, ,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Not at all,Always,2,No,No,No,No,No,No,No,No,No,No,No,No,Yes,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.80921575,Male,60,Thuringia,1,0,Full time employment
2315,15/04/2020 22:28,week 3,0,0,3,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Not sure,Not sure,Not at all,Always,Not at all,Rarely,Not at all,Rarely,Frequently,Not at all, , ,Always,Not at all,Not at all,Not at all,Not at all,Rarely,Not at all,Not at all,Rarely,Not at all,8, , , , , , , , , , , , , ,__NA__,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,1.025798102,Female,73,Berlin,1,0,Other
2316,15/04/2020 22:29,week 3,1,0,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat easy,Very willing,Not at all,Always,Frequently,Always,Always,Sometimes,Always,Sometimes,Rarely, ,Always,Always,Always,Always,Always,Always,Always,Sometimes,Frequently,Frequently,15,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Lager,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,0.784684681,Female,60,Hamburg,2,0,Full time employment
2317,15/04/2020 22:30,week 3,0,2,3,"No, I have not","No, they have not",Yes,No,Yes,No,No,No,Not sure,Not at all,No,Not sure,Yes,Very difficult,Somewhat willing,Sometimes,Always,Frequently,Sometimes,Sometimes,Not at all,Always,Frequently, , ,Always,Frequently,Always,Always,Sometimes,Rarely,Not at all,Not at all,Rarely,Frequently,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.21557521,Male,21,North Rhine-Westphalia,1,0,Full time student
2318,15/04/2020 22:35,week 3,2,4,1,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,Yes,Somewhat difficult,Very willing,Not at all,Always,Frequently,Always,Always,Sometimes,Always,Not at all, ,Not at all,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all,Frequently,Always,10, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,0.59962237,Female,18,Saarland,4,1,Full time student
2319,15/04/2020 22:42,week 3,4,0,0,"Yes, and I have not received my results from the test yet","Yes, and they have not received their results from the test yet",No,No,Yes,No,No,No,No,Sometimes,No,No,No,Somewhat difficult,Somewhat unwilling,Sometimes,Sometimes,Sometimes,Frequently,Frequently,Rarely,Sometimes,Frequently,Sometimes, ,Frequently,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Frequently,Sometimes,Sometimes,Sometimes,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,__NA__,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,1.273908429,Male,20,Bavaria,4,0,Part time employment
2320,15/04/2020 22:43,week 3,0,20,0,"No, I have not","No, they have not",No,No,No,No,No,Yes, , , , ,No,Very easy,Very unwilling,Not at all,Always,Always,Always,Always,Always,Always,Always, , ,Always,Always,Always,Always,Always,Not at all,Not at all,Not at all,Not at all,Always,3, , , , , , , , , , , , , ,__NA__,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,1.042834883,Male,27,Saxony,1,0,Full time student
